vprog,input_nbr,g_max,tau_in,tau_out,gain_in,gain_out,bias_in,bias_out,thr_out,inhibition_time,lr,presentation_time,accuracy
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,90.0,10.0,0.0001,0.2,55.620000000000005
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,-0.125,90.0,12.0,0.0001,0.2,55.93
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,50.0,8.0,0.0001,0.2,51.33
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,50.0,10.0,0.0001,0.2,53.06999999999999
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,50.0,12.0,0.0001,0.2,55.50000000000001
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,70.0,8.0,0.0001,0.2,54.02
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,70.0,10.0,0.0001,0.2,49.74
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,70.0,12.0,0.0001,0.2,60.25
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,90.0,8.0,0.0001,0.2,53.800000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,90.0,10.0,0.0001,0.2,55.75
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.0,90.0,12.0,0.0001,0.2,49.03
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,50.0,8.0,0.0001,0.2,58.95
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,50.0,10.0,0.0001,0.2,57.17
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,50.0,12.0,0.0001,0.2,48.41
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,70.0,8.0,0.0001,0.2,49.28
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,70.0,10.0,0.0001,0.2,51.09
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,70.0,12.0,0.0001,0.2,56.05
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,90.0,8.0,0.0001,0.2,51.959999999999994
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,90.0,10.0,0.0001,0.2,48.980000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,-0.125,0.125,90.0,12.0,0.0001,0.2,54.24
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,50.0,8.0,0.0001,0.2,58.919999999999995
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,50.0,10.0,0.0001,0.2,56.730000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,50.0,12.0,0.0001,0.2,58.720000000000006
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,70.0,8.0,0.0001,0.2,53.480000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,70.0,10.0,0.0001,0.2,63.690000000000005
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,70.0,12.0,0.0001,0.2,53.52
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,90.0,8.0,0.0001,0.2,58.63
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,90.0,10.0,0.0001,0.2,51.68000000000001
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,-0.125,90.0,12.0,0.0001,0.2,62.739999999999995
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,50.0,8.0,0.0001,0.2,57.330000000000005
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,50.0,10.0,0.0001,0.2,56.63
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,50.0,12.0,0.0001,0.2,51.43
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,70.0,8.0,0.0001,0.2,51.73
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,70.0,10.0,0.0001,0.2,54.190000000000005
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,70.0,12.0,0.0001,0.2,58.709999999999994
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,90.0,8.0,0.0001,0.2,59.730000000000004
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,90.0,10.0,0.0001,0.2,58.91
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.0,90.0,12.0,0.0001,0.2,58.32000000000001
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,50.0,8.0,0.0001,0.2,56.779999999999994
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,50.0,10.0,0.0001,0.2,61.28
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,50.0,12.0,0.0001,0.2,61.83
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,70.0,8.0,0.0001,0.2,60.49
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,70.0,10.0,0.0001,0.2,52.22
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,70.0,12.0,0.0001,0.2,53.779999999999994
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,90.0,8.0,0.0001,0.2,52.71
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,90.0,10.0,0.0001,0.2,52.769999999999996
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.0,0.125,90.0,12.0,0.0001,0.2,51.519999999999996
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,50.0,8.0,0.0001,0.2,56.71000000000001
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,50.0,10.0,0.0001,0.2,60.69
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,50.0,12.0,0.0001,0.2,55.61000000000001
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,70.0,8.0,0.0001,0.2,60.39
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,70.0,10.0,0.0001,0.2,58.540000000000006
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,70.0,12.0,0.0001,0.2,52.07000000000001
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,90.0,8.0,0.0001,0.2,61.23
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,90.0,10.0,0.0001,0.2,53.09
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,-0.125,90.0,12.0,0.0001,0.2,60.31999999999999
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,0.0,50.0,8.0,0.0001,0.2,54.22
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,0.0,50.0,10.0,0.0001,0.2,60.309999999999995
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,0.0,50.0,12.0,0.0001,0.2,57.06
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,0.0,70.0,8.0,0.0001,0.2,63.1
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,0.0,70.0,10.0,0.0001,0.2,56.120000000000005
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,0.0,70.0,12.0,0.0001,0.2,59.099999999999994
-0.6,60000.0,0.3,0.3,0.06,1.5,1.75,0.125,0.0,90.0,8.0,0.0001,0.2,61.980000000000004
